EventCode,LogName,"Windows_OS_Support","more_info",signature,"signature_severity",state
25,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Windows Update Failed",LOW,NA
31,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Windows Update Failed",LOW,NA
34,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Windows Update Failed",LOW,NA
35,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Windows Update Failed",LOW,NA
512,Security,"Windows (2000 XP) and Windows Server (2003)",,"Windows NT is starting up",LOW,NA
513,Security,"Windows (2000 XP) and Windows Server (2003)",,"Windows is shutting down",LOW,NA
514,Security,"Windows (2000 XP) and Windows Server (2003)",,"An authentication package has been loaded by the Local Security Authority",LOW,NA
515,Security,"Windows (2000 XP) and Windows Server (2003)",,"A trusted logon process has registered with the Local Security Authority",LOW,NA
516,Security,"Windows (2000 XP) and Windows Server (2003)",,"Internal resources allocated for the queuing of audit messages have been exhausted  leading to the loss of some audits",LOW,NA
517,Security,"Windows (2000 XP) and Windows Server (2003)",,"The audit log was cleared",LOW,NA
518,Security,"Windows (2000 XP) and Windows Server (2003)",,"A notification package has been loaded by the Security Account Manager",LOW,NA
519,Security,"Windows (2000 XP) and Windows Server (2003)",,"A process is using an invalid local procedure call (LPC) port",LOW,NA
520,Security,"Windows (2000 XP) and Windows Server (2003)",,"The system time was changed",LOW,NA
521,Security,"Windows (2000 XP) and Windows Server (2003)",,"Unable to log events to security log",LOW,NA
528,Security,"Windows (2000 XP) and Windows Server (2003)",,"Successful Logon",LOW,Success
529,Security,"Windows (2000 XP) and Windows Server (2003)",,"Logon Failure – Unknown user name or bad password",LOW,NA
530,Security,"Windows (2000 XP) and Windows Server (2003)",,"Logon Failure – Account logon time restriction violation",LOW,NA
531,Security,"Windows (2000 XP) and Windows Server (2003)",,"Logon Failure – Account currently disabled",LOW,NA
532,Security,"Windows (2000 XP) and Windows Server (2003)",,"Logon Failure – The specified user account has expired",LOW,NA
533,Security,"Windows (2000 XP) and Windows Server (2003)",,"Logon Failure – User not allowed to logon at this computer",LOW,NA
534,Security,"Windows (2000 XP) and Windows Server (2003)",,"Logon Failure – The user has not been granted the requested logon type at this machine",LOW,NA
535,Security,"Windows (2000 XP) and Windows Server (2003)",,"Logon Failure – The specified account’s password has expired",LOW,NA
536,Security,"Windows (2000 XP) and Windows Server (2003)",,"Logon Failure – The NetLogon component is not active",LOW,NA
537,Security,"Windows (2000 XP) and Windows Server (2003)",,"Logon failure – The logon attempt failed for other reasons.",LOW,Failed
538,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Logoff",LOW,NA
539,Security,"Windows (2000 XP) and Windows Server (2003)",,"Logon Failure – Account locked out",LOW,NA
540,Security,"Windows (2000 XP) and Windows Server (2003)",,"Successful Network Logon",LOW,Success
551,Security,"Windows (2000 XP) and Windows Server (2003)",,"User initiated logoff",LOW,NA
552,Security,"Windows (2000 XP) and Windows Server (2003)",,"Logon attempt using explicit credentials",LOW,NA
560,Security,"Windows (2000 XP) and Windows Server (2003)",,"Object Open",LOW,NA
561,Security,"Windows (2000 XP) and Windows Server (2003)",,"Handle Allocated",LOW,NA
562,Security,"Windows (2000 XP) and Windows Server (2003)",,"Handle Closed",LOW,NA
563,Security,"Windows (2000 XP) and Windows Server (2003)",,"Object Open for Delete",LOW,NA
564,Security,"Windows (2000 XP) and Windows Server (2003)",,"Object Deleted",LOW,NA
565,Security,"Windows (2000 XP) and Windows Server (2003)",,"Object Open (Active Directory)",LOW,NA
566,Security,"Windows (2000 XP) and Windows Server (2003)",,"Object Operation (Active Directory)",LOW,NA
567,Security,"Windows (2000 XP) and Windows Server (2003)",,"Object Access Attempt",LOW,NA
576,Security,"Windows (2000 XP) and Windows Server (2003)",,"Special privileges assigned to new logon",LOW,NA
577,Security,"Windows (2000 XP) and Windows Server (2003)",,"Privileged Service Called",LOW,NA
578,Security,"Windows (2000 XP) and Windows Server (2003)",,"Privileged object operation",LOW,NA
592,Security,"Windows (2000 XP) and Windows Server (2003)",,"A new process has been created",LOW,NA
593,Security,"Windows (2000 XP) and Windows Server (2003)",,"A process has exited",LOW,NA
594,Security,"Windows (2000 XP) and Windows Server (2003)",,"A handle to an object has been duplicated",LOW,NA
595,Security,"Windows (2000 XP) and Windows Server (2003)",,"Indirect access to an object has been obtained",LOW,NA
596,Security,"Windows (2000 XP) and Windows Server (2003)",,"Backup of data protection master key",LOW,NA
600,Security,"Windows (2000 XP) and Windows Server (2003)",,"A process was assigned a primary token",LOW,NA
601,Security,"Windows (2000 XP) and Windows Server (2003)",,"Attempt to install service",LOW,NA
602,Security,"Windows (2000 XP) and Windows Server (2003)",,"Scheduled Task created",LOW,NA
608,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Right Assigned",LOW,NA
609,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Right Removed",LOW,NA
610,Security,"Windows (2000 XP) and Windows Server (2003)",,"New Trusted Domain",LOW,NA
611,Security,"Windows (2000 XP) and Windows Server (2003)",,"Removing Trusted Domain",LOW,NA
612,Security,"Windows (2000 XP) and Windows Server (2003)",,"Audit Policy Change",LOW,NA
613,Security,"Windows (2000 XP) and Windows Server (2003)",,"IPSec policy agent started",LOW,NA
614,Security,"Windows (2000 XP) and Windows Server (2003)",,"IPSec policy agent disabled",LOW,NA
615,Security,"Windows (2000 XP) and Windows Server (2003)",,"IPSEC PolicyAgent Service",LOW,NA
616,Security,"Windows (2000 XP) and Windows Server (2003)",,"IPSec policy agent encountered a potentially serious failure.",LOW,Failed
617,Security,"Windows (2000 XP) and Windows Server (2003)",,"Kerberos Policy Changed",LOW,NA
618,Security,"Windows (2000 XP) and Windows Server (2003)",,"Encrypted Data Recovery Policy Changed",LOW,NA
619,Security,"Windows (2000 XP) and Windows Server (2003)",,"Quality of Service Policy Changed",LOW,NA
620,Security,"Windows (2000 XP) and Windows Server (2003)",,"Trusted Domain Information Modified",LOW,NA
621,Security,"Windows (2000 XP) and Windows Server (2003)",,"System Security Access Granted",LOW,NA
622,Security,"Windows (2000 XP) and Windows Server (2003)",,"System Security Access Removed",LOW,NA
623,Security,"Windows (2000 XP) and Windows Server (2003)",,"Per User Audit Policy was refreshed",LOW,NA
624,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Account Created",LOW,NA
625,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Account Type Changed",LOW,NA
626,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Account Enabled",LOW,NA
627,Security,"Windows (2000 XP) and Windows Server (2003)",,"Change Password Attempt",LOW,NA
628,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Account password set",LOW,NA
629,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Account Disabled",LOW,NA
630,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Account Deleted",LOW,NA
631,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Global Group Created",LOW,NA
632,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Global Group Member Added",LOW,NA
633,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Global Group Member Removed",LOW,NA
634,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Global Group Deleted",LOW,NA
635,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Local Group Created",LOW,NA
636,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Local Group Member Added",LOW,NA
637,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Local Group Member Removed",LOW,NA
638,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Local Group Deleted",LOW,NA
639,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Local Group Changed",LOW,NA
640,Security,"Windows (2000 XP) and Windows Server (2003)",,"General Account Database Change",LOW,NA
641,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Global Group Changed",LOW,NA
642,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Account Changed",LOW,NA
643,Security,"Windows (2000 XP) and Windows Server (2003)",,"Domain Policy Changed",LOW,NA
644,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Account Locked Out",LOW,NA
645,Security,"Windows (2000 XP) and Windows Server (2003)",,"Computer Account Created",LOW,NA
646,Security,"Windows (2000 XP) and Windows Server (2003)",,"Computer Account Changed",LOW,NA
647,Security,"Windows (2000 XP) and Windows Server (2003)",,"Computer Account Deleted",LOW,NA
648,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Local Group Created",LOW,NA
649,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Local Group Changed",LOW,NA
650,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Local Group Member Added",LOW,NA
